country,ssp_range,year_range,p0.05,p0.50,p0.95
"Iran, Islamic Republic of",SSP2-4.5,2080-2099,26.16,46.75,51.96
Iraq,SSP2-4.5,1986-2005,11.41,13.22,16.57
Iraq,SSP2-4.5,2020-2039,8.17,9.86,10.74
Iraq,SSP2-4.5,2040-2059,6.94,9.51,11.76
Iraq,SSP2-4.5,2080-2099,4.64,8.01,9.55
Iceland,SSP2-4.5,1986-2005,131.94,150.64,179.48
Iceland,SSP2-4.5,2020-2039,103.61,126.09,157.81
Iceland,SSP2-4.5,2040-2059,88.45,117.68,151.95
Iceland,SSP2-4.5,2080-2099,62.71,97.22,144.36
Israel,SSP2-4.5,1986-2005,0.06,0.13,0.27
Israel,SSP2-4.5,2020-2039,0.03,0.07,0.09
Israel,SSP2-4.5,2040-2059,0.02,0.06,0.10
Israel,SSP2-4.5,2080-2099,0.01,0.03,0.10
Italy,SSP2-4.5,1986-2005,28.04,30.35,34.66
Italy,SSP2-4.5,2020-2039,16.32,22.31,25.98
Italy,SSP2-4.5,2040-2059,14.44,19.33,23.61
Italy,SSP2-4.5,2080-2099,12.85,16.77,22.77
Jamaica,SSP2-4.5,1986-2005,0.00,0.00,0.00
Jamaica,SSP2-4.5,2020-2039,0.00,0.00,0.00
Jamaica,SSP2-4.5,2040-2059,0.00,0.00,0.00
Jamaica,SSP2-4.5,2080-2099,0.00,0.00,0.00
Jersey,SSP2-4.5,1986-2005,0.03,0.57,1.27
Jersey,SSP2-4.5,2020-2039,0.00,0.18,1.50
Jersey,SSP2-4.5,2040-2059,0.00,0.10,0.60
Jersey,SSP2-4.5,2080-2099,0.00,0.09,0.81
Jordan,SSP2-4.5,1986-2005,1.17,2.86,4.46
Jordan,SSP2-4.5,2020-2039,1.07,1.45,2.02
Jordan,SSP2-4.5,2040-2059,0.40,1.30,2.43
Jordan,SSP2-4.5,2080-2099,0.26,0.76,1.90
Japan,SSP2-4.5,1986-2005,37.98,42.32,46.11
Japan,SSP2-4.5,2020-2039,27.70,30.45,34.74
Japan,SSP2-4.5,2040-2059,23.28,27.14,32.06
Japan,SSP2-4.5,2080-2099,16.44,23.67,30.00
Kazakhstan,SSP2-4.5,1986-2005,156.49,159.41,162.42
Kazakhstan,SSP2-4.5,2020-2039,137.67,147.10,150.48
Kazakhstan,SSP2-4.5,2040-2059,131.14,140.26,146.03
Kazakhstan,SSP2-4.5,2080-2099,114.41,131.85,141.58
Kenya,SSP2-4.5,1986-2005,0.00,0.00,0.00
Kenya,SSP2-4.5,2020-2039,0.00,0.00,0.00
Kenya,SSP2-4.5,2040-2059,0.00,0.00,0.00
Kenya,SSP2-4.5,2080-2099,0.00,0.00,0.00
Kyrgyzstan,SSP2-4.5,1986-2005,185.42,188.93,192.39
Kyrgyzstan,SSP2-4.5,2020-2039,163.27,173.92,178.13
Kyrgyzstan,SSP2-4.5,2040-2059,156.84,164.04,173.73
Kyrgyzstan,SSP2-4.5,2080-2099,138.03,155.04,165.99
Cambodia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cambodia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cambodia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cambodia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Kiribati,SSP2-4.5,1986-2005,0.00,0.00,0.00
Kiribati,SSP2-4.5,2020-2039,0.00,0.00,0.00
Kiribati,SSP2-4.5,2040-2059,0.00,0.00,0.00
Kiribati,SSP2-4.5,2080-2099,0.00,0.00,0.00
Saint Kitts and Nevis,SSP2-4.5,1986-2005,0.00,0.00,0.00
Saint Kitts and Nevis,SSP2-4.5,2020-2039,0.00,0.00,0.00
Saint Kitts and Nevis,SSP2-4.5,2040-2059,0.00,0.00,0.00
Saint Kitts and Nevis,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Korea, Republic of",SSP2-4.5,1986-2005,71.54,78.41,82.27
"Korea, Republic of",SSP2-4.5,2020-2039,59.86,65.99,70.08
"Korea, Republic of",SSP2-4.5,2040-2059,49.38,60.23,65.15
"Korea, Republic of",SSP2-4.5,2080-2099,43.36,53.83,62.46
Kuwait,SSP2-4.5,1986-2005,0.02,0.22,0.57
Kuwait,SSP2-4.5,2020-2039,0.01,0.06,0.17
Kuwait,SSP2-4.5,2040-2059,0.00,0.04,0.27
Kuwait,SSP2-4.5,2080-2099,0.00,0.01,0.16
Lao People's Democratic Republic,SSP2-4.5,1986-2005,0.00,0.01,0.04
Lao People's Democratic Republic,SSP2-4.5,2020-2039,0.00,0.00,0.01
Lao People's Democratic Republic,SSP2-4.5,2040-2059,0.00,0.00,0.01
Lao People's Democratic Republic,SSP2-4.5,2080-2099,0.00,0.00,0.00
Lebanon,SSP2-4.5,1986-2005,7.12,8.76,10.91
Lebanon,SSP2-4.5,2020-2039,5.15,5.77,6.67
Lebanon,SSP2-4.5,2040-2059,4.08,5.34,6.04
Lebanon,SSP2-4.5,2080-2099,2.94,3.99,5.52
Liberia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Liberia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Liberia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Liberia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Libya,SSP2-4.5,1986-2005,0.91,1.12,1.48
Libya,SSP2-4.5,2020-2039,0.15,0.39,0.75
Libya,SSP2-4.5,2040-2059,0.11,0.22,0.52
Libya,SSP2-4.5,2080-2099,0.03,0.13,0.33
Saint Lucia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Saint Lucia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Saint Lucia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Saint Lucia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Liechtenstein,SSP2-4.5,1986-2005,145.04,152.23,160.99
Liechtenstein,SSP2-4.5,2020-2039,117.32,133.62,142.12
Liechtenstein,SSP2-4.5,2040-2059,108.04,129.52,134.83
Liechtenstein,SSP2-4.5,2080-2099,99.81,120.63,133.29
Sri Lanka,SSP2-4.5,1986-2005,0.00,0.00,0.00
Sri Lanka,SSP2-4.5,2020-2039,0.00,0.00,0.00
Sri Lanka,SSP2-4.5,2040-2059,0.00,0.00,0.00
Sri Lanka,SSP2-4.5,2080-2099,0.00,0.00,0.00
Lesotho,SSP2-4.5,1986-2005,66.67,72.35,76.44
Lesotho,SSP2-4.5,2020-2039,56.41,60.82,66.94
Lesotho,SSP2-4.5,2040-2059,46.18,52.31,57.90
Lesotho,SSP2-4.5,2080-2099,31.27,43.60,53.00
Lithuania,SSP2-4.5,1986-2005,110.04,122.78,136.63
Lithuania,SSP2-4.5,2020-2039,83.56,97.81,112.30
Lithuania,SSP2-4.5,2040-2059,66.21,88.40,108.60
Lithuania,SSP2-4.5,2080-2099,60.78,77.56,104.47
Luxembourg,SSP2-4.5,1986-2005,64.40,71.30,84.15
Luxembourg,SSP2-4.5,2020-2039,39.29,54.87,65.40
Luxembourg,SSP2-4.5,2040-2059,33.65,50.61,64.05
Luxembourg,SSP2-4.5,2080-2099,29.73,42.85,60.37
Latvia,SSP2-4.5,1986-2005,117.65,129.88,145.01
Latvia,SSP2-4.5,2020-2039,90.61,106.76,118.77
Latvia,SSP2-4.5,2040-2059,71.66,94.01,115.09
Latvia,SSP2-4.5,2080-2099,66.43,83.41,110.45
Macao,SSP2-4.5,1986-2005,0.00,0.00,0.00
Macao,SSP2-4.5,2020-2039,0.00,0.00,0.00
Macao,SSP2-4.5,2040-2059,0.00,0.00,0.00
Macao,SSP2-4.5,2080-2099,0.00,0.00,0.00
Saint Martin (French part),SSP2-4.5,1986-2005,0.00,0.00,0.00
Saint Martin (French part),SSP2-4.5,2020-2039,0.00,0.00,0.00
Saint Martin (French part),SSP2-4.5,2040-2059,0.00,0.00,0.00
Saint Martin (French part),SSP2-4.5,2080-2099,0.00,0.00,0.00
Morocco,SSP2-4.5,1986-2005,2.84,3.34,3.71
Morocco,SSP2-4.5,2020-2039,1.52,2.06,2.72
Morocco,SSP2-4.5,2040-2059,1.00,1.65,2.49
Morocco,SSP2-4.5,2080-2099,0.56,1.15,1.66
Monaco,SSP2-4.5,1986-2005,3.54,3.91,4.77
Monaco,SSP2-4.5,2020-2039,1.45,2.25,3.12
Monaco,SSP2-4.5,2040-2059,1.23,1.79,2.54
Monaco,SSP2-4.5,2080-2099,0.91,1.39,2.15
"Moldova, Republic of",SSP2-4.5,1986-2005,95.83,107.30,115.76
"Moldova, Republic of",SSP2-4.5,2020-2039,70.35,86.43,97.83
"Moldova, Republic of",SSP2-4.5,2040-2059,60.91,81.44,91.06
"Moldova, Republic of",SSP2-4.5,2080-2099,55.41,74.18,87.02
Madagascar,SSP2-4.5,1986-2005,0.00,0.00,0.01
Madagascar,SSP2-4.5,2020-2039,0.00,0.00,0.00
Madagascar,SSP2-4.5,2040-2059,0.00,0.00,0.00
Madagascar,SSP2-4.5,2080-2099,0.00,0.00,0.00
Maldives,SSP2-4.5,1986-2005,0.00,0.00,0.00
Maldives,SSP2-4.5,2020-2039,0.00,0.00,0.00
Maldives,SSP2-4.5,2040-2059,0.00,0.00,0.00
Maldives,SSP2-4.5,2080-2099,0.00,0.00,0.00
Mexico,SSP2-4.5,1986-2005,1.98,2.20,3.03
Mexico,SSP2-4.5,2020-2039,1.13,1.38,1.71
Mexico,SSP2-4.5,2040-2059,0.89,1.18,1.85
Mexico,SSP2-4.5,2080-2099,0.44,0.88,1.22
Marshall Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Marshall Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Marshall Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Marshall Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
North Macedonia,SSP2-4.5,1986-2005,88.62,96.80,103.51
North Macedonia,SSP2-4.5,2020-2039,69.58,76.45,88.21
North Macedonia,SSP2-4.5,2040-2059,58.71,75.03,84.49
North Macedonia,SSP2-4.5,2080-2099,48.09,62.25,80.12
Mali,SSP2-4.5,1986-2005,0.00,0.00,0.00
Mali,SSP2-4.5,2020-2039,0.00,0.00,0.00
Mali,SSP2-4.5,2040-2059,0.00,0.00,0.00
Mali,SSP2-4.5,2080-2099,0.00,0.00,0.00
Malta,SSP2-4.5,1986-2005,0.00,0.00,0.00
Malta,SSP2-4.5,2020-2039,0.00,0.00,0.00
Malta,SSP2-4.5,2040-2059,0.00,0.00,0.00
Malta,SSP2-4.5,2080-2099,0.00,0.00,0.00
Myanmar,SSP2-4.5,1986-2005,0.18,0.20,0.24
Myanmar,SSP2-4.5,2020-2039,0.15,0.16,0.17
Myanmar,SSP2-4.5,2040-2059,0.11,0.13,0.14
Myanmar,SSP2-4.5,2080-2099,0.07,0.10,0.12
Montenegro,SSP2-4.5,1986-2005,77.02,83.58,87.11
Montenegro,SSP2-4.5,2020-2039,61.60,67.82,73.46
Montenegro,SSP2-4.5,2040-2059,52.35,64.49,70.08
Montenegro,SSP2-4.5,2080-2099,47.53,57.68,67.51
Mongolia,SSP2-4.5,1986-2005,215.17,218.03,220.60
Mongolia,SSP2-4.5,2020-2039,202.81,208.44,210.93
Mongolia,SSP2-4.5,2040-2059,197.30,204.50,207.92
Mongolia,SSP2-4.5,2080-2099,185.43,197.89,206.43
Northern Mariana Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Northern Mariana Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Northern Mariana Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Northern Mariana Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Mozambique,SSP2-4.5,1986-2005,0.00,0.00,0.00
Mozambique,SSP2-4.5,2020-2039,0.00,0.00,0.00
Mozambique,SSP2-4.5,2040-2059,0.00,0.00,0.00
Mozambique,SSP2-4.5,2080-2099,0.00,0.00,0.00
Mauritania,SSP2-4.5,1986-2005,0.00,0.00,0.00
Mauritania,SSP2-4.5,2020-2039,0.00,0.00,0.00
Mauritania,SSP2-4.5,2040-2059,0.00,0.00,0.00
Mauritania,SSP2-4.5,2080-2099,0.00,0.00,0.00
Montserrat,SSP2-4.5,1986-2005,0.00,0.00,0.00
Montserrat,SSP2-4.5,2020-2039,0.00,0.00,0.00
Montserrat,SSP2-4.5,2040-2059,0.00,0.00,0.00
Montserrat,SSP2-4.5,2080-2099,0.00,0.00,0.00
Martinique,SSP2-4.5,1986-2005,0.00,0.00,0.00
Martinique,SSP2-4.5,2020-2039,0.00,0.00,0.00
Martinique,SSP2-4.5,2040-2059,0.00,0.00,0.00
Martinique,SSP2-4.5,2080-2099,0.00,0.00,0.00
Mauritius,SSP2-4.5,1986-2005,0.00,0.00,0.00
Mauritius,SSP2-4.5,2020-2039,0.00,0.00,0.00
Mauritius,SSP2-4.5,2040-2059,0.00,0.00,0.00
Mauritius,SSP2-4.5,2080-2099,0.00,0.00,0.00
Malawi,SSP2-4.5,1986-2005,0.00,0.00,0.00
Malawi,SSP2-4.5,2020-2039,0.00,0.00,0.00
Malawi,SSP2-4.5,2040-2059,0.00,0.00,0.00
Malawi,SSP2-4.5,2080-2099,0.00,0.00,0.00
Malaysia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Malaysia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Malaysia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Malaysia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Mayotte,SSP2-4.5,1986-2005,0.00,0.00,0.00
Mayotte,SSP2-4.5,2020-2039,0.00,0.00,0.00
Mayotte,SSP2-4.5,2040-2059,0.00,0.00,0.00
Mayotte,SSP2-4.5,2080-2099,0.00,0.00,0.00
Namibia,SSP2-4.5,1986-2005,0.74,0.99,1.27
Namibia,SSP2-4.5,2020-2039,0.37,0.58,0.72
Namibia,SSP2-4.5,2040-2059,0.23,0.36,0.53
Namibia,SSP2-4.5,2080-2099,0.07,0.19,0.41
New Caledonia,SSP2-4.5,1986-2005,0.00,0.00,0.00
New Caledonia,SSP2-4.5,2020-2039,0.00,0.00,0.00
New Caledonia,SSP2-4.5,2040-2059,0.00,0.00,0.00
New Caledonia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Niger,SSP2-4.5,1986-2005,0.00,0.00,0.01
Niger,SSP2-4.5,2020-2039,0.00,0.00,0.00
Niger,SSP2-4.5,2040-2059,0.00,0.00,0.00
Niger,SSP2-4.5,2080-2099,0.00,0.00,0.00
Norfolk Island,SSP2-4.5,1986-2005,0.00,0.00,0.00
Norfolk Island,SSP2-4.5,2020-2039,0.00,0.00,0.00
Norfolk Island,SSP2-4.5,2040-2059,0.00,0.00,0.00
Norfolk Island,SSP2-4.5,2080-2099,0.00,0.00,0.00
Nigeria,SSP2-4.5,1986-2005,0.00,0.00,0.00
Nigeria,SSP2-4.5,2020-2039,0.00,0.00,0.00
Nigeria,SSP2-4.5,2040-2059,0.00,0.00,0.00
Nigeria,SSP2-4.5,2080-2099,0.00,0.00,0.00
Nicaragua,SSP2-4.5,1986-2005,0.00,0.00,0.00
Nicaragua,SSP2-4.5,2020-2039,0.00,0.00,0.00
Nicaragua,SSP2-4.5,2040-2059,0.00,0.00,0.00
Nicaragua,SSP2-4.5,2080-2099,0.00,0.00,0.00
Niue,SSP2-4.5,1986-2005,0.00,0.00,0.00
Niue,SSP2-4.5,2020-2039,0.00,0.00,0.00
Niue,SSP2-4.5,2040-2059,0.00,0.00,0.00
Niue,SSP2-4.5,2080-2099,0.00,0.00,0.00
Netherlands,SSP2-4.5,1986-2005,28.96,33.46,41.75
Netherlands,SSP2-4.5,2020-2039,17.00,26.09,31.00
Netherlands,SSP2-4.5,2040-2059,14.57,23.47,29.25
Netherlands,SSP2-4.5,2080-2099,13.73,18.77,27.74
Norway,SSP2-4.5,1986-2005,143.50,153.40,172.67
Norway,SSP2-4.5,2020-2039,120.17,130.80,149.58
Norway,SSP2-4.5,2040-2059,105.18,118.74,139.72
Norway,SSP2-4.5,2080-2099,90.91,110.54,141.04
Nepal,SSP2-4.5,1986-2005,21.57,22.67,24.38
Nepal,SSP2-4.5,2020-2039,18.61,19.63,20.07
Nepal,SSP2-4.5,2040-2059,16.74,17.99,18.90
Nepal,SSP2-4.5,2080-2099,14.28,16.35,17.82
Nauru,SSP2-4.5,1986-2005,0.00,0.00,0.00
Nauru,SSP2-4.5,2020-2039,0.00,0.00,0.00
Nauru,SSP2-4.5,2040-2059,0.00,0.00,0.00
Nauru,SSP2-4.5,2080-2099,0.00,0.00,0.00
New Zealand,SSP2-4.5,1986-2005,4.70,5.31,6.25
New Zealand,SSP2-4.5,2020-2039,3.21,3.97,5.00
New Zealand,SSP2-4.5,2040-2059,2.52,3.54,4.45
New Zealand,SSP2-4.5,2080-2099,1.84,2.60,3.35
Oman,SSP2-4.5,1986-2005,0.00,0.00,0.00
Oman,SSP2-4.5,2020-2039,0.00,0.00,0.00
Oman,SSP2-4.5,2040-2059,0.00,0.00,0.00
Oman,SSP2-4.5,2080-2099,0.00,0.00,0.00
Pakistan,SSP2-4.5,1986-2005,69.29,70.06,72.05
Pakistan,SSP2-4.5,2020-2039,61.51,63.94,65.83
Pakistan,SSP2-4.5,2040-2059,58.77,60.66,62.27
Pakistan,SSP2-4.5,2080-2099,52.78,57.05,60.44
Panama,SSP2-4.5,1986-2005,0.00,0.00,0.00
Panama,SSP2-4.5,2020-2039,0.00,0.00,0.00
Panama,SSP2-4.5,2040-2059,0.00,0.00,0.00
Panama,SSP2-4.5,2080-2099,0.00,0.00,0.00
Pitcairn,SSP2-4.5,1986-2005,0.00,0.00,0.00
Pitcairn,SSP2-4.5,2020-2039,0.00,0.00,0.00
Pitcairn,SSP2-4.5,2040-2059,0.00,0.00,0.00
Pitcairn,SSP2-4.5,2080-2099,0.00,0.00,0.00
Peru,SSP2-4.5,1986-2005,18.79,20.20,21.64
Peru,SSP2-4.5,2020-2039,12.36,13.64,15.43
Peru,SSP2-4.5,2040-2059,9.07,11.17,13.07
Peru,SSP2-4.5,2080-2099,5.62,8.41,11.97
Philippines,SSP2-4.5,1986-2005,0.00,0.00,0.00
Philippines,SSP2-4.5,2020-2039,0.00,0.00,0.00
Philippines,SSP2-4.5,2040-2059,0.00,0.00,0.00
Philippines,SSP2-4.5,2080-2099,0.00,0.00,0.00
Palau,SSP2-4.5,1986-2005,0.00,0.00,0.00
Palau,SSP2-4.5,2020-2039,0.00,0.00,0.00
Palau,SSP2-4.5,2040-2059,0.00,0.00,0.00
Palau,SSP2-4.5,2080-2099,0.00,0.00,0.00
Papua New Guinea,SSP2-4.5,1986-2005,0.00,0.00,0.00
Papua New Guinea,SSP2-4.5,2020-2039,0.00,0.00,0.00
Papua New Guinea,SSP2-4.5,2040-2059,0.00,0.00,0.00
Papua New Guinea,SSP2-4.5,2080-2099,0.00,0.00,0.00
Poland,SSP2-4.5,1986-2005,90.82,102.09,115.44
Poland,SSP2-4.5,2020-2039,63.35,82.33,93.35
Poland,SSP2-4.5,2040-2059,50.05,74.81,92.70
Poland,SSP2-4.5,2080-2099,45.70,67.89,85.66
Puerto Rico,SSP2-4.5,1986-2005,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2020-2039,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2040-2059,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Korea, Democratic People's Republic of",SSP2-4.5,1986-2005,137.04,140.49,144.44
"Korea, Democratic People's Republic of",SSP2-4.5,2020-2039,125.83,128.72,134.29
"Korea, Democratic People's Republic of",SSP2-4.5,2040-2059,116.10,122.77,129.84
"Korea, Democratic People's Republic of",SSP2-4.5,2080-2099,105.31,117.27,125.66
Portugal,SSP2-4.5,1986-2005,6.14,6.94,7.76
Portugal,SSP2-4.5,2020-2039,3.01,4.73,7.21
Portugal,SSP2-4.5,2040-2059,2.67,3.90,5.82
Portugal,SSP2-4.5,2080-2099,1.79,2.88,4.60
Paraguay,SSP2-4.5,1986-2005,0.07,0.23,0.59
Paraguay,SSP2-4.5,2020-2039,0.01,0.13,0.27
Paraguay,SSP2-4.5,2040-2059,0.02,0.06,0.31
Paraguay,SSP2-4.5,2080-2099,0.00,0.03,0.17
"Palestine, State of",SSP2-4.5,1986-2005,0.00,0.03,0.16
"Palestine, State of",SSP2-4.5,2020-2039,0.00,0.02,0.05
"Palestine, State of",SSP2-4.5,2040-2059,0.00,0.01,0.08
"Palestine, State of",SSP2-4.5,2080-2099,0.00,0.00,0.06
French Polynesia,SSP2-4.5,1986-2005,0.00,0.00,0.00
French Polynesia,SSP2-4.5,2020-2039,0.00,0.00,0.00
French Polynesia,SSP2-4.5,2040-2059,0.00,0.00,0.00
French Polynesia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Qatar,SSP2-4.5,1986-2005,0.00,0.00,0.00
Qatar,SSP2-4.5,2020-2039,0.00,0.00,0.00
Qatar,SSP2-4.5,2040-2059,0.00,0.00,0.00
Qatar,SSP2-4.5,2080-2099,0.00,0.00,0.00
Réunion,SSP2-4.5,1986-2005,0.00,0.00,0.00
Réunion,SSP2-4.5,2020-2039,0.00,0.00,0.00
Réunion,SSP2-4.5,2040-2059,0.00,0.00,0.00
Réunion,SSP2-4.5,2080-2099,0.00,0.00,0.00
Romania,SSP2-4.5,1986-2005,99.32,108.40,115.97
Romania,SSP2-4.5,2020-2039,73.15,86.44,97.99
Romania,SSP2-4.5,2040-2059,61.35,82.12,90.73
Romania,SSP2-4.5,2080-2099,55.73,75.45,87.92
Russian Federation,SSP2-4.5,1986-2005,170.05,175.19,182.41
Russian Federation,SSP2-4.5,2020-2039,151.85,157.54,164.60
Russian Federation,SSP2-4.5,2040-2059,140.48,150.86,161.34
Russian Federation,SSP2-4.5,2080-2099,123.12,139.60,154.68
Rwanda,SSP2-4.5,1986-2005,0.00,0.00,0.00
Rwanda,SSP2-4.5,2020-2039,0.00,0.00,0.00
Rwanda,SSP2-4.5,2040-2059,0.00,0.00,0.00
Rwanda,SSP2-4.5,2080-2099,0.00,0.00,0.00
Saudi Arabia,SSP2-4.5,1986-2005,0.96,1.66,2.48
Saudi Arabia,SSP2-4.5,2020-2039,0.53,0.85,1.22
Saudi Arabia,SSP2-4.5,2040-2059,0.38,0.79,1.50
Saudi Arabia,SSP2-4.5,2080-2099,0.18,0.48,0.94
Sudan,SSP2-4.5,1986-2005,0.00,0.00,0.01
Sudan,SSP2-4.5,2020-2039,0.00,0.00,0.00
Sudan,SSP2-4.5,2040-2059,0.00,0.00,0.00
Sudan,SSP2-4.5,2080-2099,0.00,0.00,0.00
Senegal,SSP2-4.5,1986-2005,0.00,0.00,0.00
Senegal,SSP2-4.5,2020-2039,0.00,0.00,0.00
Senegal,SSP2-4.5,2040-2059,0.00,0.00,0.00
Senegal,SSP2-4.5,2080-2099,0.00,0.00,0.00
Singapore,SSP2-4.5,1986-2005,0.00,0.00,0.00
Singapore,SSP2-4.5,2020-2039,0.00,0.00,0.00
Singapore,SSP2-4.5,2040-2059,0.00,0.00,0.00
Singapore,SSP2-4.5,2080-2099,0.00,0.00,0.00
South Georgia and the South Sandwich Islands,SSP2-4.5,1986-2005,275.67,288.48,311.81
South Georgia and the South Sandwich Islands,SSP2-4.5,2020-2039,256.86,270.62,289.38
South Georgia and the South Sandwich Islands,SSP2-4.5,2040-2059,231.35,271.88,286.21
South Georgia and the South Sandwich Islands,SSP2-4.5,2080-2099,213.00,258.97,275.43
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Saint Helena, Ascension and Tristan da Cunha",SSP2-4.5,2080-2099,0.00,0.00,0.00
Solomon Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Solomon Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Solomon Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Solomon Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Sierra Leone,SSP2-4.5,1986-2005,0.00,0.00,0.00
Sierra Leone,SSP2-4.5,2020-2039,0.00,0.00,0.00
Sierra Leone,SSP2-4.5,2040-2059,0.00,0.00,0.00
Sierra Leone,SSP2-4.5,2080-2099,0.00,0.00,0.00
El Salvador,SSP2-4.5,1986-2005,0.00,0.00,0.00
El Salvador,SSP2-4.5,2020-2039,0.00,0.00,0.00
El Salvador,SSP2-4.5,2040-2059,0.00,0.00,0.00
El Salvador,SSP2-4.5,2080-2099,0.00,0.00,0.00
San Marino,SSP2-4.5,1986-2005,29.33,32.95,39.33
San Marino,SSP2-4.5,2020-2039,13.42,21.24,29.35
San Marino,SSP2-4.5,2040-2059,12.03,18.11,24.66
San Marino,SSP2-4.5,2080-2099,7.51,13.68,22.93
Somalia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Somalia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Somalia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Somalia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Saint Pierre and Miquelon,SSP2-4.5,1986-2005,98.75,106.31,111.74
Saint Pierre and Miquelon,SSP2-4.5,2020-2039,62.23,75.48,94.06
Saint Pierre and Miquelon,SSP2-4.5,2040-2059,52.51,65.96,83.10
Saint Pierre and Miquelon,SSP2-4.5,2080-2099,29.24,54.68,78.05
Serbia,SSP2-4.5,1986-2005,84.26,93.28,98.00
Serbia,SSP2-4.5,2020-2039,59.79,71.36,81.74
Serbia,SSP2-4.5,2040-2059,48.13,66.48,76.72
Serbia,SSP2-4.5,2080-2099,44.91,58.82,73.03
South Sudan,SSP2-4.5,1986-2005,0.00,0.00,0.00
South Sudan,SSP2-4.5,2020-2039,0.00,0.00,0.00
South Sudan,SSP2-4.5,2040-2059,0.00,0.00,0.00
South Sudan,SSP2-4.5,2080-2099,0.00,0.00,0.00
Sao Tome and Principe,SSP2-4.5,1986-2005,0.00,0.00,0.00
Sao Tome and Principe,SSP2-4.5,2020-2039,0.00,0.00,0.00
Sao Tome and Principe,SSP2-4.5,2040-2059,0.00,0.00,0.00
Sao Tome and Principe,SSP2-4.5,2080-2099,0.00,0.00,0.00
Suriname,SSP2-4.5,1986-2005,0.00,0.00,0.00
Suriname,SSP2-4.5,2020-2039,0.00,0.00,0.00
Suriname,SSP2-4.5,2040-2059,0.00,0.00,0.00
Suriname,SSP2-4.5,2080-2099,0.00,0.00,0.00
Slovakia,SSP2-4.5,1986-2005,103.15,112.24,122.26
Slovakia,SSP2-4.5,2020-2039,71.96,91.37,98.10
Slovakia,SSP2-4.5,2040-2059,57.64,84.47,96.83
Slovakia,SSP2-4.5,2080-2099,54.74,76.63,90.69
Slovenia,SSP2-4.5,1986-2005,82.53,89.98,95.35
Slovenia,SSP2-4.5,2020-2039,54.95,70.51,79.15
Slovenia,SSP2-4.5,2040-2059,45.74,65.92,73.76
Slovenia,SSP2-4.5,2080-2099,44.02,59.38,71.76
Sweden,SSP2-4.5,1986-2005,121.50,133.48,148.95
Sweden,SSP2-4.5,2020-2039,94.28,110.77,124.83
Sweden,SSP2-4.5,2040-2059,75.31,99.30,115.16
Sweden,SSP2-4.5,2080-2099,68.39,89.95,115.66
Eswatini,SSP2-4.5,1986-2005,0.01,0.04,0.13
Eswatini,SSP2-4.5,2020-2039,0.01,0.02,0.05
Eswatini,SSP2-4.5,2040-2059,0.00,0.00,0.03
Eswatini,SSP2-4.5,2080-2099,0.00,0.00,0.02
Sint Maarten (Dutch part),SSP2-4.5,1986-2005,0.00,0.00,0.00
Sint Maarten (Dutch part),SSP2-4.5,2020-2039,0.00,0.00,0.00
